period,x,m_mx,m_qx,m_lx,m_dx,m_ex,blank,f_mx,f_qx,f_lx,f_dx,f_ex
2013-2015,30,6.88e-4,6.87e-4,98718.5,67.9,50.17,NA,3.6e-4,3.6e-4,99186.3,35.7,53.6
2013-2015,31,7.19e-4,7.19e-4,98650.6,70.9,49.2,NA,3.91e-4,3.91e-4,99150.6,38.7,52.62
2013-2015,32,8.17e-4,8.17e-4,98579.7,80.5,48.24,NA,4.27e-4,4.27e-4,99111.8,42.3,51.64
2013-2015,33,8.2e-4,8.2e-4,98499.1,80.7,47.28,NA,4.56e-4,4.56e-4,99069.5,45.2,50.66
2013-2015,34,9.12e-4,9.12e-4,98418.4,89.7,46.32,NA,5.14e-4,5.14e-4,99024.3,50.9,49.69
2013-2015,35,9.65e-4,9.65e-4,98328.7,94.9,45.36,NA,5.58e-4,5.58e-4,98973.4,55.2,48.71
2013-2015,36,0.001034,0.001034,98233.8,101.5,44.4,NA,6.31e-4,6.3e-4,98918.2,62.3,47.74
2013-2015,37,0.001116,0.001116,98132.2,109.5,43.45,NA,6.44e-4,6.44e-4,98855.9,63.6,46.77
2013-2015,38,0.001296,0.001296,98022.7,127,42.49,NA,7.4e-4,7.39e-4,98792.3,73.1,45.8
2013-2015,39,0.001355,0.001354,97895.7,132.5,41.55,NA,8.05e-4,8.05e-4,98719.2,79.5,44.83
2013-2015,40,0.001474,0.001473,97763.2,144,40.6,NA,8.75e-4,8.75e-4,98639.7,86.3,43.87
2013-2015,41,0.001617,0.001616,97619.2,157.7,39.66,NA,9.36e-4,9.35e-4,98553.5,92.2,42.91
2013-2015,42,0.001684,0.001683,97461.5,164,38.73,NA,0.001047,0.001047,98461.3,103.1,41.95
2013-2015,43,0.001778,0.001776,97297.4,172.8,37.79,NA,0.001124,0.001123,98358.2,110.5,40.99
2013-2015,44,0.001956,0.001954,97124.6,189.8,36.86,NA,0.001242,0.001241,98247.7,121.9,40.04
2013-2015,45,0.002196,0.002193,96934.8,212.6,35.93,NA,0.001354,0.001353,98125.8,132.7,39.08
2013-2015,46,0.002284,0.002281,96722.2,220.7,35.01,NA,0.001438,0.001437,97993,140.8,38.14
2013-2015,47,0.002482,0.002479,96501.5,239.3,34.09,NA,0.001574,0.001573,97852.2,153.9,37.19
2013-2015,48,0.002576,0.002573,96262.3,247.7,33.17,NA,0.001678,0.001676,97698.4,163.8,36.25
2013-2015,49,0.002914,0.00291,96014.6,279.4,32.25,NA,0.001846,0.001844,97534.6,179.9,35.31
2013-2015,50,0.003152,0.003147,95735.2,301.3,31.35,NA,0.00208,0.002078,97354.8,202.3,34.37
2013-2015,51,0.003378,0.003372,95433.9,321.8,30.44,NA,0.002225,0.002222,97152.4,215.9,33.44
2013-2015,52,0.003582,0.003576,95112.1,340.1,29.54,NA,0.002476,0.002473,96936.5,239.7,32.52
2013-2015,53,0.003974,0.003966,94772,375.8,28.65,NA,0.002719,0.002715,96696.8,262.5,31.6
2013-2015,54,0.004349,0.00434,94396.2,409.7,27.76,NA,0.002928,0.002924,96434.3,282,30.68
2013-2015,55,0.004759,0.004748,93986.5,446.3,26.88,NA,0.003266,0.003261,96152.3,313.5,29.77
2013-2015,56,0.005221,0.005207,93540.2,487.1,26.01,NA,0.00351,0.003504,95838.8,335.8,28.87
2013-2015,57,0.005861,0.005844,93053.1,543.8,25.14,NA,0.003876,0.003868,95503,369.5,27.96
2013-2015,58,0.00643,0.006409,92509.3,592.9,24.28,NA,0.004154,0.004145,95133.5,394.3,27.07
2013-2015,59,0.00713,0.007105,91916.4,653,23.44,NA,0.004592,0.004582,94739.2,434.1,26.18
2013-2015,60,0.00793,0.007899,91263.4,720.9,22.6,NA,0.005138,0.005125,94305.1,483.3,25.3
2013-2015,61,0.008565,0.008528,90542.5,772.2,21.78,NA,0.00561,0.005595,93821.8,524.9,24.43
2013-2015,62,0.009475,0.009431,89770.3,846.6,20.96,NA,0.006089,0.00607,93296.9,566.3,23.56
