period,x,m_mx,m_qx,m_lx,m_dx,m_ex,blank,f_mx,f_qx,f_lx,f_dx,f_ex
1999-2001,52,0.00465,0.004639,93636.3,434.4,26.36,NA,0.003127,0.003123,96078.1,300,30.18
1999-2001,53,0.005176,0.005163,93201.9,481.2,25.48,NA,0.003283,0.003277,95778.1,313.9,29.27
1999-2001,54,0.005666,0.00565,92720.7,523.8,24.61,NA,0.003828,0.003821,95464.2,364.8,28.36
1999-2001,55,0.006315,0.006295,92196.9,580.4,23.74,NA,0.004116,0.004108,95099.5,390.6,27.47
1999-2001,56,0.007236,0.00721,91616.5,660.5,22.89,NA,0.004493,0.004483,94708.8,424.6,26.58
1999-2001,57,0.008043,0.00801,90956,728.6,22.05,NA,0.004982,0.00497,94284.2,468.6,25.7
1999-2001,58,0.008728,0.00869,90227.4,784.1,21.23,NA,0.005375,0.005361,93815.7,502.9,24.82
1999-2001,59,0.009807,0.009759,89443.3,872.9,20.41,NA,0.006086,0.006067,93312.7,566.1,23.96
1999-2001,60,0.010954,0.010894,88570.4,964.9,19.61,NA,0.006752,0.006729,92746.6,624.1,23.1
1999-2001,61,0.012082,0.01201,87605.5,1052.1,18.82,NA,0.007353,0.007326,92122.5,674.9,22.25
1999-2001,62,0.013228,0.013141,86553.4,1137.4,18.04,NA,0.00792,0.007888,91447.6,721.4,21.41
1999-2001,63,0.014518,0.014414,85416,1231.2,17.27,NA,0.008787,0.008748,90726.2,793.7,20.58
1999-2001,64,0.015859,0.015734,84184.8,1324.5,16.52,NA,0.009778,0.00973,89932.5,875.1,19.76
1999-2001,65,0.017969,0.017809,82860.3,1475.7,15.77,NA,0.010761,0.010704,89057.4,953.3,18.94
1999-2001,66,0.019993,0.019796,81384.6,1611.1,15.05,NA,0.011845,0.011775,88104.2,1037.4,18.14
1999-2001,67,0.022481,0.022231,79773.5,1773.5,14.34,NA,0.013287,0.013199,87066.8,1149.2,17.35
1999-2001,68,0.024521,0.024224,78000.1,1889.5,13.66,NA,0.014613,0.014507,85917.5,1246.4,16.58
1999-2001,69,0.027689,0.02731,76110.6,2078.6,12.99,NA,0.016412,0.016278,84671.2,1378.3,15.82
1999-2001,70,0.030655,0.030193,74032,2235.2,12.34,NA,0.018508,0.018339,83292.9,1527.5,15.07
1999-2001,71,0.034478,0.033894,71796.8,2433.5,11.71,NA,0.020832,0.020617,81765.4,1685.8,14.34
1999-2001,72,0.038282,0.037563,69363.3,2605.5,11.1,NA,0.02318,0.022915,80079.6,1835,13.63
1999-2001,73,0.042779,0.041883,66757.8,2796,10.51,NA,0.02597,0.025637,78244.6,2005.9,12.94
1999-2001,74,0.047328,0.046234,63961.8,2957.2,9.95,NA,0.029235,0.028814,76238.7,2196.7,12.27
1999-2001,75,0.052633,0.051284,61004.6,3128.5,9.41,NA,0.032343,0.031828,74041.9,2356.6,11.62
1999-2001,76,0.057524,0.055916,57876,3236.2,8.89,NA,0.036164,0.035522,71685.3,2546.4,10.98
1999-2001,77,0.06393,0.06195,54639.8,3384.9,8.39,NA,0.039974,0.039191,69138.9,2709.6,10.37
1999-2001,78,0.070531,0.068129,51254.9,3491.9,7.91,NA,0.044116,0.043164,66429.3,2867.3,9.77
1999-2001,79,0.076695,0.073863,47763,3527.9,7.45,NA,0.048608,0.047455,63562,3016.3,9.19
1999-2001,80,0.082431,0.079168,44235.1,3502,7,NA,0.054075,0.052652,60545.7,3187.8,8.62
1999-2001,81,0.090301,0.0864,40733.1,3519.3,6.56,NA,0.060625,0.058842,57357.8,3375,8.07
1999-2001,82,0.101709,0.096787,37213.7,3601.8,6.14,NA,0.068405,0.066143,53982.8,3570.6,7.55
1999-2001,83,0.11632,0.109926,33611.9,3694.8,5.74,NA,0.078336,0.075384,50412.3,3800.3,7.05
1999-2001,84,0.127886,0.1202,29917.1,3596,5.39,NA,0.087725,0.084039,46612,3917.2,6.58
1999-2001,85,0.141411,0.132073,26321,3476.3,5.05,NA,0.098673,0.094033,42694.8,4014.7,6.14
1999-2001,86,0.152745,0.141907,22844.8,3241.8,4.75,NA,0.108525,0.102939,38680,3981.7,5.72
1999-2001,87,0.165616,0.152951,19602.9,2998.3,4.45,NA,0.121644,0.114669,34698.4,3978.8,5.32
1999-2001,88,0.186066,0.170229,16604.7,2826.6,4.16,NA,0.135215,0.126653,30719.5,3890.7,4.95
1999-2001,89,0.2021,0.183552,13778.1,2529,3.91,NA,0.152408,0.141616,26828.8,3799.4,4.59
1999-2001,90,0.212748,0.192293,11249.1,2163.1,3.68,NA,0.166779,0.153942,23029.4,3545.2,4.27
1999-2001,91,0.227986,0.204657,9086,1859.5,3.44,NA,0.18677,0.170818,19484.2,3328.3,3.96
1999-2001,92,0.256849,0.227617,7226.4,1644.9,3.19,NA,0.207296,0.187828,16156,3034.5,3.67
1999-2001,93,0.276909,0.243232,5581.6,1357.6,2.99,NA,0.232689,0.208438,13121.4,2735,3.4
1999-2001,94,0.304262,0.264086,4224,1115.5,2.79,NA,0.254591,0.225842,10386.4,2345.7,3.16
1999-2001,95,0.330827,0.283871,3108.5,882.4,2.61,NA,0.282083,0.247215,8040.7,1987.8,2.94
1999-2001,96,0.350618,0.29832,2226.1,664.1,2.45,NA,0.309816,0.26826,6052.9,1623.8,2.74
1999-2001,97,0.405666,0.337259,1562,526.8,2.27,NA,0.33339800000000003,0.285762,4429.2,1265.7,2.57
1999-2001,98,0.42796,0.352526,1035.2,364.9,2.17,NA,0.368347,0.311059,3163.5,984,2.39
1999-2001,99,0.436603,0.35837,670.3,240.2,2.09,NA,0.384787,0.322702,2179.5,703.3,2.25
1999-2001,100,0.471092,0.381282,430.1,164,1.97,NA,0.426769,0.351718,1476.1,519.2,2.08
1998-2000,0,0.006329,0.006309,100000,630.9,75.24,NA,0.005067,0.005054,100000,505.4,80.08
1998-2000,1,4.96e-4,4.96e-4,99369.1,49.2,74.72,NA,3.79e-4,3.79e-4,99494.6,37.7,79.49
1998-2000,2,3.1e-4,3.1e-4,99319.9,30.8,73.76,NA,2.45e-4,2.45e-4,99456.8,24.3,78.52
1998-2000,3,2.11e-4,2.11e-4,99289,20.9,72.78,NA,1.81e-4,1.81e-4,99432.5,18,77.54
1998-2000,4,1.71e-4,1.71e-4,99268.1,17,71.8,NA,1.2e-4,1.2e-4,99414.5,11.9,76.55
1998-2000,5,1.32e-4,1.32e-4,99251.1,13.1,70.81,NA,1.2e-4,1.2e-4,99402.5,11.9,75.56
1998-2000,6,1.5e-4,1.5e-4,99238,14.8,69.82,NA,1.1e-4,1.1e-4,99390.6,10.9,74.57
1998-2000,7,1.44e-4,1.44e-4,99223.2,14.3,68.83,NA,9.6e-5,9.6e-5,99379.7,9.5,73.58
1998-2000,8,1.23e-4,1.23e-4,99208.9,12.2,67.84,NA,9.9e-5,9.9e-5,99370.2,9.8,72.59
1998-2000,9,1.23e-4,1.23e-4,99196.6,12.2,66.85,NA,9.3e-5,9.3e-5,99360.4,9.2,71.59
1998-2000,10,1.37e-4,1.37e-4,99184.4,13.6,65.85,NA,1.12e-4,1.12e-4,99351.2,11.1,70.6
1998-2000,11,1.37e-4,1.37e-4,99170.9,13.6,64.86,NA,1.26e-4,1.26e-4,99340.1,12.6,69.61
1998-2000,12,1.63e-4,1.63e-4,99157.3,16.1,63.87,NA,1.3e-4,1.3e-4,99327.6,12.9,68.62
1998-2000,13,1.73e-4,1.73e-4,99141.2,17.2,62.88,NA,1.2e-4,1.2e-4,99314.7,11.9,67.62
1998-2000,14,2.28e-4,2.28e-4,99124,22.6,61.89,NA,1.4e-4,1.4e-4,99302.7,13.9,66.63
1998-2000,15,2.48e-4,2.48e-4,99101.5,24.6,60.91,NA,1.65e-4,1.65e-4,99288.8,16.4,65.64
1998-2000,16,4.28e-4,4.28e-4,99076.9,42.4,59.92,NA,2.47e-4,2.47e-4,99272.4,24.5,64.65
1998-2000,17,5.65e-4,5.65e-4,99034.5,55.9,58.95,NA,2.76e-4,2.76e-4,99247.9,27.4,63.67
1998-2000,18,7.94e-4,7.93e-4,98978.6,78.5,57.98,NA,3.26e-4,3.26e-4,99220.5,32.3,62.69
1998-2000,19,8.39e-4,8.39e-4,98900,82.9,57.03,NA,3.02e-4,3.02e-4,99188.2,29.9,61.71
1998-2000,20,7.87e-4,7.87e-4,98817.1,77.8,56.07,NA,3.07e-4,3.07e-4,99158.3,30.4,60.72
1998-2000,21,8.29e-4,8.29e-4,98739.4,81.8,55.12,NA,3.07e-4,3.07e-4,99127.8,30.4,59.74
1998-2000,22,8.82e-4,8.82e-4,98657.5,87,54.16,NA,3.47e-4,3.47e-4,99097.4,34.4,58.76
1998-2000,23,9.21e-4,9.21e-4,98570.5,90.8,53.21,NA,2.98e-4,2.98e-4,99063,29.5,57.78
1998-2000,24,9.16e-4,9.16e-4,98479.8,90.2,52.26,NA,3.3e-4,3.3e-4,99033.5,32.7,56.8
1998-2000,25,8.98e-4,8.98e-4,98389.6,88.3,51.31,NA,3.44e-4,3.44e-4,99000.8,34.1,55.82
1998-2000,26,9.32e-4,9.31e-4,98301.2,91.6,50.35,NA,3.44e-4,3.44e-4,98966.7,34,54.84
1998-2000,27,9.92e-4,9.91e-4,98209.6,97.3,49.4,NA,3.6e-4,3.6e-4,98932.7,35.6,53.85
1998-2000,28,9.81e-4,9.81e-4,98112.3,96.2,48.45,NA,4.04e-4,4.03e-4,98897.1,39.9,52.87
1998-2000,29,0.001016,0.001015,98016.1,99.5,47.49,NA,3.86e-4,3.86e-4,98857.1,38.1,51.89
1998-2000,30,0.001038,0.001038,97916.6,101.6,46.54,NA,4.62e-4,4.62e-4,98819,45.6,50.91
1998-2000,31,0.001005,0.001004,97815,98.2,45.59,NA,4.68e-4,4.68e-4,98773.4,46.2,49.94
1998-2000,32,0.001124,0.001124,97716.7,109.8,44.63,NA,4.62e-4,4.62e-4,98727.2,45.6,48.96
1998-2000,33,0.001121,0.00112,97606.9,109.3,43.68,NA,5.63e-4,5.63e-4,98681.6,55.5,47.98
1998-2000,34,0.0011,0.0011,97497.6,107.2,42.73,NA,5.63e-4,5.63e-4,98626.1,55.5,47.01
1998-2000,35,0.001216,0.001215,97390.4,118.4,41.78,NA,6.53e-4,6.53e-4,98570.5,64.3,46.04
1998-2000,36,0.001264,0.001263,97272,122.8,40.83,NA,7.25e-4,7.25e-4,98506.2,71.4,45.07
1998-2000,37,0.001351,0.00135,97149.2,131.2,39.88,NA,7.46e-4,7.46e-4,98434.8,73.4,44.1
1998-2000,38,0.001364,0.001363,97018,132.3,38.93,NA,8.21e-4,8.2e-4,98361.4,80.7,43.13
1998-2000,39,0.001513,0.001512,96885.7,146.5,37.99,NA,9.09e-4,9.09e-4,98280.7,89.3,42.17
1998-2000,40,0.001608,0.001607,96739.2,155.5,37.04,NA,0.001023,0.001023,98191.4,100.4,41.2
1998-2000,41,0.00182,0.001818,96583.8,175.6,36.1,NA,0.001164,0.001164,98090.9,114.2,40.25
1998-2000,42,0.00185,0.001849,96408.2,178.2,35.17,NA,0.001242,0.001241,97976.8,121.6,39.29
1998-2000,43,0.002043,0.002041,96229.9,196.4,34.23,NA,0.001388,0.001387,97855.2,135.8,38.34
1998-2000,44,0.002309,0.002306,96033.5,221.5,33.3,NA,0.001563,0.001562,97719.4,152.6,37.39
1998-2000,45,0.002519,0.002516,95812.1,241,32.38,NA,0.001659,0.001657,97566.8,161.7,36.45
1998-2000,46,0.00279,0.002786,95571,266.3,31.46,NA,0.001809,0.001807,97405.1,176,35.51
1998-2000,47,0.003106,0.003101,95304.7,295.5,30.54,NA,0.001992,0.00199,97229.1,193.5,34.57
1998-2000,48,0.003259,0.003254,95009.2,309.2,29.64,NA,0.002181,0.002179,97035.6,211.4,33.64
1998-2000,49,0.003642,0.003636,94700,344.3,28.73,NA,0.002438,0.002435,96824.2,235.7,32.71
1998-2000,50,0.00404,0.004032,94355.7,380.4,27.83,NA,0.002744,0.002741,96588.4,264.7,31.79
1998-2000,51,0.004239,0.00423,93975.3,397.5,26.94,NA,0.002837,0.002833,96323.7,272.8,30.88
1998-2000,52,0.004761,0.004749,93577.8,444.4,26.06,NA,0.003176,0.003171,96050.9,304.6,29.96
1998-2000,53,0.005344,0.00533,93133.3,496.4,25.18,NA,0.003391,0.003385,95746.3,324.1,29.06
1998-2000,54,0.005888,0.005871,92636.9,543.9,24.31,NA,0.003925,0.003918,95422.2,373.8,28.16
1998-2000,55,0.006565,0.006543,92093,602.6,23.45,NA,0.004215,0.004206,95048.4,399.8,27.26
1998-2000,56,0.007431,0.007403,91490.5,677.3,22.6,NA,0.004536,0.004525,94648.6,428.3,26.38
1998-2000,57,0.008302,0.008268,90813.2,750.8,21.77,NA,0.005103,0.00509,94220.3,479.6,25.49
1998-2000,58,0.009135,0.009094,90062.4,819,20.95,NA,0.005562,0.005546,93740.7,519.9,24.62
1998-2000,59,0.010063,0.010013,89243.3,893.5,20.13,NA,0.00624,0.00622,93220.8,579.9,23.76
1998-2000,60,0.011199,0.011137,88349.8,984,19.33,NA,0.006928,0.006904,92640.9,639.6,22.9
1998-2000,61,0.012429,0.012352,87365.8,1079.2,18.54,NA,0.007425,0.007398,92001.3,680.6,22.06
1998-2000,62,0.0136,0.013508,86286.6,1165.6,17.77,NA,0.008177,0.008144,91320.7,743.7,21.22
1998-2000,63,0.015072,0.014959,85121.1,1273.3,17.01,NA,0.008875,0.008836,90577,800.3,20.39
1998-2000,64,0.016703,0.016565,83847.7,1388.9,16.26,NA,0.010151,0.0101,89776.7,906.7,19.57
1998-2000,65,0.018875,0.018699,82458.8,1541.9,15.52,NA,0.011003,0.010943,88870,972.5,18.76
1998-2000,66,0.020931,0.020714,80916.9,1676.1,14.81,NA,0.01234,0.012264,87897.5,1078,17.96
1998-2000,67,0.023503,0.02323,79240.8,1840.8,14.11,NA,0.013919,0.013822,86819.5,1200,17.18
1998-2000,68,0.025789,0.025461,77400,1970.6,13.43,NA,0.015112,0.014999,85619.4,1284.2,16.41
1998-2000,69,0.028924,0.028511,75429.4,2150.6,12.77,NA,0.017254,0.017106,84335.2,1442.6,15.66
1998-2000,70,0.032355,0.03184,73278.8,2333.2,12.13,NA,0.019325,0.01914,82892.6,1586.5,14.92
1998-2000,71,0.036002,0.035365,70945.6,2509,11.52,NA,0.021702,0.021469,81306,1745.6,14.2
1998-2000,72,0.040098,0.03931,68436.6,2690.2,10.92,NA,0.024257,0.023967,79560.5,1906.8,13.5
1998-2000,73,0.044579,0.043607,65746.4,2867,10.35,NA,0.026793,0.026439,77653.7,2053.1,12.82
1998-2000,74,0.049556,0.048358,62879.4,3040.7,9.79,NA,0.030372,0.029918,75600.6,2261.8,12.16
1998-2000,75,0.054105,0.05268,59838.7,3152.3,9.27,NA,0.032887,0.032355,73338.8,2372.9,11.52
1998-2000,76,0.059371,0.057659,56686.3,3268.5,8.75,NA,0.037134,0.036457,70965.9,2587.2,10.88
1998-2000,77,0.0656,0.063517,53417.9,3392.9,8.26,NA,0.040795,0.039979,68378.7,2733.7,10.28
1998-2000,78,0.072008,0.069506,50024.9,3477,7.79,NA,0.044998,0.044008,65645,2888.9,9.68
1998-2000,79,0.078261,0.075314,46547.9,3505.7,7.33,NA,0.049204,0.048023,62756.1,3013.7,9.11
1998-2000,80,0.084857,0.081403,43042.2,3503.8,6.89,NA,0.055339,0.053849,59742.3,3217.1,8.54
1998-2000,81,0.094159,0.089925,39538.4,3555.5,6.45,NA,0.06181,0.059957,56525.3,3389.1,8
1998-2000,82,0.107245,0.101787,35982.9,3662.6,6.04,NA,0.071478,0.069011,53136.2,3667,7.48
1998-2000,83,0.118802,0.112141,32320.3,3624.4,5.67,NA,0.079314,0.076289,49469.2,3774,6.99
1998-2000,84,0.130968,0.122919,28695.9,3527.3,5.32,NA,0.088789,0.085015,45695.2,3884.8,6.53
1998-2000,85,0.142494,0.133017,25168.6,3347.9,5,NA,0.099065,0.09439,41810.5,3946.5,6.09
1998-2000,86,0.155571,0.144343,21820.8,3149.7,4.68,NA,0.110664,0.104862,37864,3970.5,5.67
1998-2000,87,0.170317,0.156951,18671.1,2930.4,4.39,NA,0.122935,0.115816,33893.5,3925.4,5.28
1998-2000,88,0.187734,0.171624,15740.6,2701.5,4.12,NA,0.137799,0.128917,29968.1,3863.4,4.91
1998-2000,89,0.205236,0.186135,13039.2,2427,3.86,NA,0.153897,0.142901,26104.7,3730.4,4.56
1998-2000,90,0.217453,0.196129,10612.1,2081.3,3.63,NA,0.168979,0.155814,22374.3,3486.2,4.23
1998-2000,91,0.233959,0.209457,8530.8,1786.8,3.4,NA,0.189112,0.172775,18888.1,3263.4,3.92
1998-2000,92,0.259093,0.229378,6743.9,1546.9,3.17,NA,0.211279,0.191092,15624.7,2985.7,3.64
1998-2000,93,0.281249,0.246574,5197,1281.5,2.96,NA,0.235525,0.210711,12638.9,2663.2,3.38
1998-2000,94,0.305896,0.265316,3915.6,1038.9,2.77,NA,0.258303,0.228759,9975.8,2282,3.15
1998-2000,95,0.336966,0.288379,2876.7,829.6,2.58,NA,0.282284,0.24737,7693.7,1903.2,2.93
1998-2000,96,0.355669,0.301969,2047.1,618.2,2.43,NA,0.310846,0.269032,5790.5,1557.8,2.73
1998-2000,97,0.397103,0.331319,1429,473.4,2.26,NA,0.338797,0.289719,4232.7,1226.3,2.55
1998-2000,98,0.421963,0.348447,955.5,332.9,2.13,NA,0.365045,0.3087,3006.4,928.1,2.39
1998-2000,99,0.443634,0.363094,622.6,226.1,2.01,NA,0.3861,0.323624,2078.3,672.6,2.23
1998-2000,100,0.48926,0.393097,396.5,155.9,1.87,NA,0.437679,0.359095,1405.7,504.8,2.06
1997-1999,0,0.006463,0.006442,100000,644.2,74.96,NA,0.005146,0.005133,100000,513.3,79.86
1997-1999,1,5.27e-4,5.27e-4,99355.8,52.4,74.44,NA,4.05e-4,4.05e-4,99486.7,40.2,79.28
1997-1999,2,3.22e-4,3.22e-4,99303.4,32,73.48,NA,2.73e-4,2.73e-4,99446.5,27.2,78.31
1997-1999,3,2.2e-4,2.2e-4,99271.4,21.8,72.51,NA,1.72e-4,1.72e-4,99419.3,17.1,77.33
1997-1999,4,1.85e-4,1.85e-4,99249.6,18.3,71.52,NA,1.14e-4,1.14e-4,99402.3,11.4,76.34
1997-1999,5,1.53e-4,1.53e-4,99231.3,15.2,70.54,NA,1.19e-4,1.19e-4,99390.9,11.8,75.35
1997-1999,6,1.42e-4,1.42e-4,99216,14.1,69.55,NA,1.16e-4,1.16e-4,99379.1,11.5,74.36
1997-1999,7,1.4e-4,1.4e-4,99201.9,13.9,68.56,NA,1.03e-4,1.03e-4,99367.6,10.2,73.37
1997-1999,8,1.41e-4,1.41e-4,99188,14,67.57,NA,9.5e-5,9.5e-5,99357.4,9.4,72.38
1997-1999,9,1.29e-4,1.29e-4,99174,12.8,66.58,NA,1.03e-4,1.03e-4,99347.9,10.2,71.38
1997-1999,10,1.46e-4,1.46e-4,99161.2,14.5,65.58,NA,1.22e-4,1.22e-4,99337.8,12.1,70.39
1997-1999,11,1.6e-4,1.6e-4,99146.7,15.8,64.59,NA,1.17e-4,1.17e-4,99325.7,11.6,69.4
1997-1999,12,1.74e-4,1.74e-4,99130.9,17.3,63.6,NA,1.39e-4,1.39e-4,99314.1,13.8,68.41
1997-1999,13,1.83e-4,1.83e-4,99113.6,18.2,62.61,NA,1.31e-4,1.31e-4,99300.3,13,67.42
1997-1999,14,2.48e-4,2.48e-4,99095.4,24.6,61.63,NA,1.44e-4,1.44e-4,99287.3,14.3,66.42
1997-1999,15,2.73e-4,2.73e-4,99070.8,27.1,60.64,NA,2.1e-4,2.1e-4,99273,20.8,65.43
1997-1999,16,4.5e-4,4.5e-4,99043.7,44.5,59.66,NA,2.56e-4,2.56e-4,99252.2,25.4,64.45
1997-1999,17,5.96e-4,5.96e-4,98999.2,59,58.68,NA,2.97e-4,2.97e-4,99226.8,29.5,63.46
1997-1999,18,8e-4,8e-4,98940.2,79.1,57.72,NA,2.97e-4,2.97e-4,99197.3,29.5,62.48
1997-1999,19,8.62e-4,8.62e-4,98861.1,85.2,56.77,NA,2.9e-4,2.9e-4,99167.8,28.7,61.5
1997-1999,20,8.46e-4,8.46e-4,98775.9,83.6,55.81,NA,3.01e-4,3.01e-4,99139.1,29.9,60.52
1997-1999,21,9.02e-4,9.02e-4,98692.3,89,54.86,NA,3.29e-4,3.29e-4,99109.2,32.6,59.54
1997-1999,22,8.79e-4,8.79e-4,98603.3,86.7,53.91,NA,3.4e-4,3.4e-4,99076.6,33.7,58.56
1997-1999,23,9.05e-4,9.05e-4,98516.7,89.1,52.96,NA,2.77e-4,2.77e-4,99042.9,27.4,57.58
1997-1999,24,9.21e-4,9.21e-4,98427.5,90.6,52,NA,3.34e-4,3.34e-4,99015.5,33.1,56.59
1997-1999,25,9.43e-4,9.43e-4,98336.9,92.7,51.05,NA,3.38e-4,3.38e-4,98982.4,33.5,55.61
1997-1999,26,9.46e-4,9.45e-4,98244.2,92.9,50.1,NA,3.32e-4,3.32e-4,98948.9,32.8,54.63
1997-1999,27,9.29e-4,9.28e-4,98151.4,91.1,49.15,NA,3.38e-4,3.38e-4,98916.1,33.4,53.65
1997-1999,28,9.56e-4,9.56e-4,98060.3,93.7,48.19,NA,3.91e-4,3.91e-4,98882.7,38.7,52.67
1997-1999,29,0.001016,0.001015,97966.5,99.4,47.24,NA,4.09e-4,4.09e-4,98844,40.4,51.69
1997-1999,30,0.001008,0.001007,97867.1,98.6,46.28,NA,4.51e-4,4.51e-4,98803.6,44.5,50.71
1997-1999,31,0.001016,0.001016,97768.5,99.3,45.33,NA,4.77e-4,4.77e-4,98759,47.1,49.73
1997-1999,32,0.001079,0.001078,97669.2,105.3,44.38,NA,4.63e-4,4.63e-4,98711.9,45.7,48.75
1997-1999,33,0.001123,0.001123,97563.9,109.5,43.42,NA,5.52e-4,5.52e-4,98666.2,54.5,47.78
1997-1999,34,0.001113,0.001112,97454.4,108.4,42.47,NA,5.54e-4,5.54e-4,98611.7,54.6,46.8
1997-1999,35,0.001169,0.001168,97346,113.7,41.52,NA,6.62e-4,6.61e-4,98557.1,65.2,45.83
1997-1999,36,0.001169,0.001169,97232.3,113.6,40.57,NA,7.32e-4,7.32e-4,98491.9,72,44.86
1997-1999,37,0.001294,0.001293,97118.6,125.6,39.61,NA,7.83e-4,7.82e-4,98419.8,77,43.89
1997-1999,38,0.001383,0.001382,96993,134,38.66,NA,8.35e-4,8.34e-4,98342.8,82,42.92
1997-1999,39,0.001526,0.001524,96859,147.7,37.72,NA,9.44e-4,9.44e-4,98260.8,92.7,41.96
1997-1999,40,0.001599,0.001597,96711.3,154.5,36.77,NA,0.001011,0.001011,98168.1,99.2,41
1997-1999,41,0.001809,0.001808,96556.8,174.5,35.83,NA,0.001141,0.001141,98068.8,111.8,40.04
1997-1999,42,0.001917,0.001916,96382.3,184.6,34.9,NA,0.001247,0.001246,97957,122.1,39.08
1997-1999,43,0.002121,0.002119,96197.6,203.8,33.96,NA,0.001404,0.001403,97834.9,137.3,38.13
1997-1999,44,0.002354,0.002351,95993.8,225.7,33.03,NA,0.001594,0.001593,97697.6,155.6,37.19
1997-1999,45,0.002555,0.002551,95768.2,244.3,32.11,NA,0.001669,0.001668,97542,162.7,36.24
1997-1999,46,0.002791,0.002788,95523.8,266.3,31.19,NA,0.001781,0.001779,97379.3,173.3,35.3
1997-1999,47,0.003145,0.00314,95257.6,299.1,30.28,NA,0.00205,0.002048,97206,199,34.37
1997-1999,48,0.003272,0.003267,94958.5,310.2,29.37,NA,0.002247,0.002244,97007,217.7,33.43
1997-1999,49,0.003569,0.003563,94648.3,337.2,28.46,NA,0.002396,0.002393,96789.2,231.6,32.51
1997-1999,50,0.00388,0.003873,94311,365.2,27.56,NA,0.002709,0.002705,96557.6,261.2,31.59
1997-1999,51,0.004341,0.004332,93945.8,406.9,26.67,NA,0.002919,0.002915,96296.4,280.7,30.67
1997-1999,52,0.004895,0.004883,93538.8,456.7,25.78,NA,0.003213,0.003207,96015.8,308,29.76
1997-1999,53,0.005575,0.00556,93082.1,517.5,24.91,NA,0.003456,0.00345,95707.8,330.2,28.85
1997-1999,54,0.006176,0.006157,92564.6,569.9,24.04,NA,0.00394,0.003933,95377.6,375.1,27.95
1997-1999,55,0.006732,0.006709,91994.7,617.2,23.19,NA,0.004217,0.004209,95002.5,399.8,27.06
1997-1999,56,0.007576,0.007548,91377.4,689.7,22.34,NA,0.004558,0.004548,94602.7,430.2,26.17
1997-1999,57,0.00872,0.008682,90687.7,787.4,21.51,NA,0.005239,0.005225,94172.5,492.1,25.29
1997-1999,58,0.0095,0.009455,89900.3,850,20.69,NA,0.005704,0.005688,93680.4,532.8,24.42
1997-1999,59,0.010298,0.010245,89050.3,912.3,19.89,NA,0.00634,0.006319,93147.5,588.6,23.56
1997-1999,60,0.011428,0.011363,88138,1001.5,19.09,NA,0.007147,0.007121,92558.9,659.1,22.7
1997-1999,61,0.012689,0.012609,87136.4,1098.7,18.3,NA,0.007705,0.007675,91899.7,705.3,21.86
1997-1999,62,0.013992,0.013895,86037.8,1195.5,17.53,NA,0.008506,0.00847,91194.4,772.4,21.03
1997-1999,63,0.015484,0.015365,84842.3,1303.6,16.77,NA,0.00913,0.009089,90422,821.8,20.2
1997-1999,64,0.017464,0.017313,83538.7,1446.3,16.02,NA,0.010256,0.010203,89600.1,914.2,19.38
1997-1999,65,0.01961,0.01942,82092.4,1594.2,15.29,NA,0.011489,0.011423,88685.9,1013.1,18.58
1997-1999,66,0.021602,0.021371,80498.1,1720.3,14.59,NA,0.012819,0.012737,87672.8,1116.7,17.79
1997-1999,67,0.024469,0.024174,78777.8,1904.3,13.9,NA,0.014424,0.014321,86556.1,1239.6,17.01
1997-1999,68,0.02701,0.02665,76873.5,2048.7,13.23,NA,0.015778,0.015654,85316.6,1335.6,16.25
1997-1999,69,0.030132,0.029685,74824.8,2221.2,12.58,NA,0.017758,0.017601,83981,1478.2,15.5
1997-1999,70,0.033809,0.033247,72603.6,2413.9,11.95,NA,0.020097,0.019897,82502.8,1641.6,14.77
1997-1999,71,0.037619,0.036924,70189.8,2591.7,11.34,NA,0.022536,0.022285,80861.2,1802,14.06
1997-1999,72,0.041517,0.040673,67598,2749.4,10.75,NA,0.025344,0.025027,79059.3,1978.6,13.37
1997-1999,73,0.045938,0.044907,64848.6,2912.1,10.19,NA,0.027979,0.027593,77080.6,2126.9,12.7
1997-1999,74,0.051144,0.049869,61936.5,3088.7,9.64,NA,0.030814,0.030346,74953.7,2274.6,12.04
1997-1999,75,0.055671,0.054163,58847.8,3187.4,9.12,NA,0.033717,0.033158,72679.2,2409.9,11.4
1997-1999,76,0.06162,0.059779,55660.4,3327.3,8.62,NA,0.037831,0.037129,70269.3,2609,10.78
1997-1999,77,0.066791,0.064633,52333.1,3382.4,8.13,NA,0.04122,0.040388,67660.3,2732.6,10.17
1997-1999,78,0.073014,0.070442,48950.7,3448.2,7.66,NA,0.045946,0.044914,64927.6,2916.2,9.58
1997-1999,79,0.080781,0.077645,45502.5,3533,7.2,NA,0.050497,0.049254,62011.4,3054.3,9.01
1997-1999,80,0.088531,0.084778,41969.4,3558.1,6.77,NA,0.057124,0.055538,58957.2,3274.4,8.45
1997-1999,81,0.098368,0.093757,38411.3,3601.3,6.35,NA,0.064206,0.062209,55682.8,3464,7.92
1997-1999,82,0.10962,0.103924,34810,3617.6,5.96,NA,0.072917,0.070352,52218.8,3673.7,7.41
1997-1999,83,0.121538,0.114575,31192.4,3573.9,5.59,NA,0.080448,0.077338,48545.1,3754.4,6.93
1997-1999,84,0.132761,0.124497,27618.5,3438.4,5.25,NA,0.089617,0.085774,44790.7,3841.9,6.47
